timestep,run_type,layer,ce_value,run_name,column_name
4000,distill,6,7.359414076805114,distill_val_run_4000_20250918_133950,summary/val/unet6_vggtpoint_map/cross_entropy
4000,naive,6,7.39783091545105,naive_val_run_4000_20250918_171925,summary/val/unet6_vggtpoint_map/cross_entropy
4000,distill,8,3.838008749485016,distill_val_run_4000_20250918_133950,summary/val/unet8_vggtpoint_map/cross_entropy
4000,naive,8,3.772844755649567,naive_val_run_4000_20250918_171925,summary/val/unet8_vggtpoint_map/cross_entropy
4000,distill,10,4.307863521575928,distill_val_run_4000_20250918_133950,summary/val/unet10_vggtpoint_map/cross_entropy
4000,naive,10,4.215575361251831,naive_val_run_4000_20250918_171925,summary/val/unet10_vggtpoint_map/cross_entropy
4000,distill,12,4.468575668334961,distill_val_run_4000_20250918_133950,summary/val/unet12_vggtpoint_map/cross_entropy
4000,naive,12,4.396881055831909,naive_val_run_4000_20250918_171925,summary/val/unet12_vggtpoint_map/cross_entropy
8000,distill,2,4.633511781692505,distill_val_run_8000_20250918_135746,summary/val/unet2_vggtpoint_map/cross_entropy
8000,naive,2,5.366056203842163,naive_val_run_8000_20250918_174415,summary/val/unet2_vggtpoint_map/cross_entropy
8000,distill,4,4.410445141792297,distill_val_run_8000_20250918_135746,summary/val/unet4_vggtpoint_map/cross_entropy
8000,naive,4,4.218639707565307,naive_val_run_8000_20250918_174415,summary/val/unet4_vggtpoint_map/cross_entropy
8000,distill,6,7.669027256965637,distill_val_run_8000_20250918_135746,summary/val/unet6_vggtpoint_map/cross_entropy
8000,naive,6,6.980040788650513,naive_val_run_8000_20250918_174415,summary/val/unet6_vggtpoint_map/cross_entropy
8000,distill,8,4.0628444194793705,distill_val_run_8000_20250918_135746,summary/val/unet8_vggtpoint_map/cross_entropy
8000,naive,8,3.913082718849182,naive_val_run_8000_20250918_174415,summary/val/unet8_vggtpoint_map/cross_entropy
8000,distill,10,3.4249157190322874,distill_val_run_8000_20250918_135746,summary/val/unet10_vggtpoint_map/cross_entropy
8000,naive,10,4.379568815231323,naive_val_run_8000_20250918_174415,summary/val/unet10_vggtpoint_map/cross_entropy
8000,distill,12,3.716397571563721,distill_val_run_8000_20250918_135746,summary/val/unet12_vggtpoint_map/cross_entropy
8000,naive,12,4.5845647811889645,naive_val_run_8000_20250918_174415,summary/val/unet12_vggtpoint_map/cross_entropy
10000,distill,2,4.531994938850403,distill_val_run_10000_20250918_142513,summary/val/unet2_vggtpoint_map/cross_entropy
10000,naive,2,5.052149105072021,naive_val_run_10000_20250918_180851,summary/val/unet2_vggtpoint_map/cross_entropy
10000,distill,4,4.434225642681122,distill_val_run_10000_20250918_142513,summary/val/unet4_vggtpoint_map/cross_entropy
10000,naive,4,4.183178520202636,naive_val_run_10000_20250918_180851,summary/val/unet4_vggtpoint_map/cross_entropy
10000,distill,6,7.739031338691712,distill_val_run_10000_20250918_142513,summary/val/unet6_vggtpoint_map/cross_entropy
10000,naive,6,6.962936544418335,naive_val_run_10000_20250918_180851,summary/val/unet6_vggtpoint_map/cross_entropy
10000,distill,8,4.168408048152924,distill_val_run_10000_20250918_142513,summary/val/unet8_vggtpoint_map/cross_entropy
10000,naive,8,3.749462592601776,naive_val_run_10000_20250918_180851,summary/val/unet8_vggtpoint_map/cross_entropy
10000,distill,10,3.321878099441528,distill_val_run_10000_20250918_142513,summary/val/unet10_vggtpoint_map/cross_entropy
10000,naive,10,4.2050114393234255,naive_val_run_10000_20250918_180851,summary/val/unet10_vggtpoint_map/cross_entropy
10000,distill,12,3.611434674263001,distill_val_run_10000_20250918_142513,summary/val/unet12_vggtpoint_map/cross_entropy
10000,naive,12,4.437222170829773,naive_val_run_10000_20250918_180851,summary/val/unet12_vggtpoint_map/cross_entropy
12000,distill,2,4.557740879058838,distill_val_run_12000_20250918_145514,summary/val/unet2_vggtpoint_map/cross_entropy
12000,naive,2,5.091185808181763,naive_val_run_12000_20250918_183301,summary/val/unet2_vggtpoint_map/cross_entropy
12000,distill,4,4.523609936237335,distill_val_run_12000_20250918_145514,summary/val/unet4_vggtpoint_map/cross_entropy
12000,naive,4,4.1613919854164125,naive_val_run_12000_20250918_183301,summary/val/unet4_vggtpoint_map/cross_entropy
12000,distill,6,7.732895708084106,distill_val_run_12000_20250918_145514,summary/val/unet6_vggtpoint_map/cross_entropy
12000,naive,6,7.283786773681641,naive_val_run_12000_20250918_183301,summary/val/unet6_vggtpoint_map/cross_entropy
12000,distill,8,4.02095354795456,distill_val_run_12000_20250918_145514,summary/val/unet8_vggtpoint_map/cross_entropy
12000,naive,8,3.607954132556915,naive_val_run_12000_20250918_183301,summary/val/unet8_vggtpoint_map/cross_entropy
12000,distill,10,3.454301929473877,distill_val_run_12000_20250918_145514,summary/val/unet10_vggtpoint_map/cross_entropy
12000,naive,10,4.122972583770752,naive_val_run_12000_20250918_183301,summary/val/unet10_vggtpoint_map/cross_entropy
12000,distill,12,3.8557570457458494,distill_val_run_12000_20250918_145514,summary/val/unet12_vggtpoint_map/cross_entropy
12000,naive,12,4.4427807331085205,naive_val_run_12000_20250918_183301,summary/val/unet12_vggtpoint_map/cross_entropy
16000,distill,2,4.567187714576721,distill_val_run_16000_20250918_210049,summary/val/unet2_vggtpoint_map/cross_entropy
16000,naive,2,4.988442277908325,naive_val_run_16000_20250918_185751,summary/val/unet2_vggtpoint_map/cross_entropy
16000,distill,4,4.451226973533631,distill_val_run_16000_20250918_210049,summary/val/unet4_vggtpoint_map/cross_entropy
